品名,最低价,平均价,最高价,规格,产地,单位,发布日期
八爪鱼,15.0,15.5,16.0,鲜,,斤,2021-12-10 00:00:00
多宝鱼,40.0,41.0,42.0,活,,斤,2021-12-10 00:00:00
国产带鱼,12.5,13.0,13.5,200g-300g/冻,,斤,2021-12-10 00:00:00
国产带鱼,15.5,16.0,16.5,300g-500g/冻,,斤,2021-12-10 00:00:00
国产带鱼,16.5,17.0,17.5,600g-700g/冻,,斤,2021-12-10 00:00:00
鲜带鱼,15.0,16.0,17.0,200g左右,,斤,2021-12-10 00:00:00
鲜带鱼,22.0,22.5,23.0,300g左右,,斤,2021-12-10 00:00:00
鲜带鱼,30.0,31.0,32.0,500g左右,,斤,2021-12-10 00:00:00
小黄花鱼,10.0,11.0,12.0,冻,,斤,2021-12-10 00:00:00
国产黄花鱼,12.0,12.5,13.0,250g左右/鲜,,斤,2021-12-10 00:00:00
国产黄花鱼,14.0,14.5,15.0,500g左右/鲜,,斤,2021-12-10 00:00:00
国产黄花鱼,20.0,20.5,21.0,750g左右/鲜,,斤,2021-12-10 00:00:00
国产平鱼,10.0,11.0,12.0,80g-100g/鲜,,斤,2021-12-10 00:00:00
国产平鱼,13.0,14.0,15.0,120g-130g/鲜,,斤,2021-12-10 00:00:00
国产平鱼,20.0,21.0,22.0,150g-200g/鲜,,斤,2021-12-10 00:00:00
国产平鱼,30.0,31.0,32.0,250g-300g/鲜,,斤,2021-12-10 00:00:00
鱿鱼,13.0,13.5,14.0,带头,,斤,2021-12-10 00:00:00
公河蟹,35.0,37.5,40.0,200g左右,,斤,2021-12-10 00:00:00
母河蟹,35.0,37.5,40.0,100g左右,,斤,2021-12-10 00:00:00
母河蟹,40.0,42.5,45.0,125g左右,,斤,2021-12-10 00:00:00
母河蟹,45.0,47.5,50.0,150g左右,,斤,2021-12-10 00:00:00
母梭子蟹,60.0,70.0,80.0,300g-350g,,斤,2021-12-10 00:00:00
公梭子蟹,35.0,37.5,40.0,200g-250g,,斤,2021-12-10 00:00:00
公梭子蟹,45.0,47.5,50.0,300g-350g,,斤,2021-12-10 00:00:00
珍宝蟹,130.0,135.0,140.0,活,,斤,2021-12-10 00:00:00
面包蟹,110.0,115.0,120.0,活,,斤,2021-12-10 00:00:00
白虾（笼装）,26.0,27.0,28.0,22-24头,,斤,2021-12-10 00:00:00
白虾（笼装）,24.0,25.0,26.0,26-30头,,斤,2021-12-10 00:00:00
白虾（精品）,32.0,32.0,32.0,22-24头,,斤,2021-12-10 00:00:00
白虾（精品）,30.0,30.0,30.0,26-30头,,斤,2021-12-10 00:00:00
白虾,16.0,18.0,20.0,冰鲜,,斤,2021-12-10 00:00:00
小草虾,12.0,13.5,15.0,活,,斤,2021-12-10 00:00:00
小海白虾,20.0,22.5,25.0,鲜,,斤,2021-12-10 00:00:00
琵琶虾,35.0,37.5,40.0,活,,斤,2021-12-10 00:00:00
鲍鱼,9.0,9.5,10.0,6-7头,,个,2021-12-10 00:00:00
鲍鱼,6.0,6.5,7.0,8-9头,,个,2021-12-10 00:00:00
鲍鱼,4.0,4.5,5.0,10-12头,,个,2021-12-10 00:00:00
扇贝（地播）,28.0,28.0,28.0,10-12cm/活,,斤,2021-12-10 00:00:00
扇贝（地播）,26.0,26.0,26.0,7-9cm/活,,斤,2021-12-10 00:00:00
小红扇贝,5.0,5.5,6.0,活,,斤,2021-12-10 00:00:00
大香螺,35.0,36.5,38.0,活,,斤,2021-12-10 00:00:00
角螺,50.0,51.0,52.0,活,,斤,2021-12-10 00:00:00
钉螺,7.0,7.0,7.0,活,,斤,2021-12-10 00:00:00
海螺丝,35.0,35.5,36.0,活,,斤,2021-12-10 00:00:00
海螺,13.0,13.5,14.0,活（小）,,斤,2021-12-10 00:00:00
海螺,18.0,20.0,22.0,活（中）,,斤,2021-12-10 00:00:00
海螺,28.0,30.0,32.0,活（大）,,斤,2021-12-10 00:00:00
竹蛏子,33.0,34.0,35.0,活（中）,,斤,2021-12-10 00:00:00
蛏子,14.0,15.0,16.0,活,,斤,2021-12-10 00:00:00
海虹,6.0,6.0,6.0,活,,斤,2021-12-10 00:00:00
带子,13.0,13.5,14.0,活,,斤,2021-12-10 00:00:00
生蚝,12.0,12.0,12.0,150g,,斤,2021-12-10 00:00:00
生蚝,14.0,14.0,14.0,200g,,斤,2021-12-10 00:00:00
文蛤,12.0,12.0,12.0,活,,斤,2021-12-10 00:00:00
白蛤,4.0,6.0,8.0,活,,斤,2021-12-10 00:00:00
青蛤,12.0,12.0,12.0,活,,斤,2021-12-10 00:00:00
花蛤,4.0,4.75,5.5,活,,斤,2021-12-10 00:00:00
毛蚶,7.0,7.5,8.0,活,,斤,2021-12-10 00:00:00
田螺,3.0,3.25,3.5,去尾,,斤,2021-12-10 00:00:00
海肠子,33.0,34.0,35.0,活,,斤,2021-12-10 00:00:00
甲鱼,40.0,41.0,42.0,仿野生,,斤,2021-12-10 00:00:00
甲鱼,25.0,25.0,25.0,养殖,,斤,2021-12-10 00:00:00
蚕蛹,35.0,35.0,35.0,活,,斤,2021-12-10 00:00:00
牛蛙,11.0,11.0,11.0,活,,斤,2021-12-10 00:00:00
海蜇头,6.0,7.0,8.0,腌渍,,斤,2021-12-10 00:00:00
海蜇皮,8.0,8.5,9.0,腌渍,,斤,2021-12-10 00:00:00
海蜇丝,6.0,6.0,6.0,腌渍,,斤,2021-12-10 00:00:00
北豆腐,2.2,2.2,2.2,屉,,斤,2021-12-10 00:00:00
南豆腐,2.0,2.0,2.0,屉,,斤,2021-12-10 00:00:00
白玉北豆腐,3.8,3.8,3.8,,,盒,2021-12-10 00:00:00
香香北豆腐,3.0,3.0,3.0,,,盒,2021-12-10 00:00:00
白玉南豆腐,5.0,5.0,5.0,,,盒,2021-12-10 00:00:00
豆腐丝,4.5,4.75,5.0,散,,斤,2021-12-10 00:00:00
精品豆腐丝,5.5,5.5,5.5,,,袋,2021-12-10 00:00:00
豆腐皮,4.9,4.95,5.0,散,,斤,2021-12-10 00:00:00
豆腐干,4.5,4.5,4.5,散,,斤,2021-12-10 00:00:00
精品豆腐干,4.5,4.5,4.5,,,袋,2021-12-10 00:00:00
豆腐泡,5.0,5.0,5.0,散,,斤,2021-12-10 00:00:00
精品豆腐泡,5.0,5.0,5.0,,,袋,2021-12-10 00:00:00
白玉内酯豆腐,2.2,2.2,2.2,,,盒,2021-12-10 00:00:00
香香内脂豆腐,1.5,1.5,1.5,,,盒,2021-12-10 00:00:00
大白菜,0.7,0.9,1.1,,冀陕辽,斤,2021-12-09 00:00:00
娃娃菜,1.0,1.1,1.2,大,冀豫,斤,2021-12-09 00:00:00
小白菜,1.3,1.45,1.6,,,斤,2021-12-09 00:00:00
圆白菜,1.5,1.75,2.0,暄,冀,斤,2021-12-09 00:00:00
圆白菜,1.1,1.15,1.2,扁\露地,鄂,斤,2021-12-09 00:00:00
紫甘蓝,1.4,1.45,1.5,精选,宁云,斤,2021-12-09 00:00:00
芹菜,1.6,1.8,2.0,,鲁,斤,2021-12-09 00:00:00
西芹,3.8,4.15,4.5,,辽,斤,2021-12-09 00:00:00
菠菜,2.0,2.25,2.5,精选,蒙,斤,2021-12-09 00:00:00
莴笋,1.0,1.35,1.7,净,冀,斤,2021-12-09 00:00:00
团生菜,2.0,2.5,3.0,毛筐\净,冀,斤,2021-12-09 00:00:00
散叶生菜,2.4,2.5,2.6,毛\净,京辽,斤,2021-12-09 00:00:00
罗马生菜,2.3,2.35,2.4,,冀,斤,2021-12-09 00:00:00
油菜,0.8,1.15,1.5,,冀,斤,2021-12-09 00:00:00
香菜,2.5,3.25,4.0,,冀,斤,2021-12-09 00:00:00
茴香,2.5,2.75,3.0,,冀,斤,2021-12-09 00:00:00
韭菜,3.5,3.9,4.3,,粤冀,斤,2021-12-09 00:00:00
苦菊,3.5,4.0,4.5,,辽,斤,2021-12-09 00:00:00
油麦菜,3.5,3.75,4.0,,辽,斤,2021-12-09 00:00:00
黄心菜,0.9,1.05,1.2,,皖,斤,2021-12-09 00:00:00
菜花,3.0,3.1,3.2,,鄂,斤,2021-12-09 00:00:00
散菜花,4.0,4.5,5.0,精选,冀甘陕,斤,2021-12-09 00:00:00
绿菜花,3.0,3.5,4.0,,鲁豫苏,斤,2021-12-09 00:00:00
绿豆芽,0.95,0.98,1.0,,,斤,2021-12-09 00:00:00
黄豆芽,0.85,0.88,0.9,,,斤,2021-12-09 00:00:00
番茄,1.5,2.15,2.8,黑框,蒙,斤,2021-12-09 00:00:00
番茄,2.7,3.0,3.3,白框,鲁蒙冀,斤,2021-12-09 00:00:00
黄瓜,1.7,2.45,3.2,袋\箱,鲁辽云,斤,2021-12-09 00:00:00
黄瓜,3.3,3.45,3.6,鲜干花,冀,斤,2021-12-09 00:00:00
小黄瓜,5.0,5.2,5.4,旱\荷兰,辽,斤,2021-12-09 00:00:00
茄子,1.8,2.3,2.8,精选,冀鲁云,斤,2021-12-09 00:00:00
长茄,1.5,1.75,2.0,精选,鲁辽,斤,2021-12-09 00:00:00
广茄,1.5,2.0,2.5,,粤,斤,2021-12-09 00:00:00
线茄,2.0,3.0,4.0,精选,冀鲁,斤,2021-12-09 00:00:00
冬瓜,1.4,1.5,1.6,吊,辽桂,斤,2021-12-09 00:00:00
冬瓜,0.9,0.95,1.0,地,苏,斤,2021-12-09 00:00:00
毛冬瓜,1.4,1.5,1.6,长条\小个,冀豫,斤,2021-12-09 00:00:00
架豆,3.6,4.0,4.4,,冀,斤,2021-12-09 00:00:00
豆王,2.7,3.35,4.0,精选,云冀,斤,2021-12-09 00:00:00
扁豆,3.2,3.65,4.1,精选,冀,斤,2021-12-09 00:00:00
豇豆,4.0,5.75,7.5,,桂云,斤,2021-12-09 00:00:00
白不老,3.5,4.25,5.0,,辽冀,斤,2021-12-09 00:00:00
油豆,3.4,3.7,4.0,精品,辽冀,斤,2021-12-09 00:00:00
毛豆,4.0,4.15,4.3,,云桂闽川,斤,2021-12-09 00:00:00
玉米,2.3,2.45,2.6,,鄂桂闽,斤,2021-12-09 00:00:00
花生,4.5,5.25,6.0,,苏冀皖,斤,2021-12-09 00:00:00
苦瓜,3.0,3.5,4.0,,冀鲁,斤,2021-12-09 00:00:00
丝瓜,3.5,4.0,4.5,长\短,冀豫鲁,斤,2021-12-09 00:00:00
西葫芦,1.5,1.85,2.2,箱,云鲁,斤,2021-12-09 00:00:00
佛手瓜,3.0,3.25,3.5,,冀,斤,2021-12-09 00:00:00
贝贝南瓜,2.5,3.0,3.5,,蒙,斤,2021-12-09 00:00:00
金丝南瓜,1.4,1.95,2.5,,蒙,斤,2021-12-09 00:00:00
板栗南瓜,1.5,1.75,2.0,,新蒙,斤,2021-12-09 00:00:00
南北瓜,0.8,0.9,1.0,,川鄂皖浙,斤,2021-12-09 00:00:00
尖椒,2.5,3.4,4.3,袋\箱,辽冀鲁蒙,斤,2021-12-09 00:00:00
红尖椒,3.0,4.0,5.0,,鲁,斤,2021-12-09 00:00:00
油菜,2.0,2.25,2.5,,,斤,2021-12-09 00:00:00
小白菜,2.0,2.25,2.5,,,斤,2021-12-09 00:00:00
油麦菜,4.0,4.5,5.0,,,斤,2021-12-09 00:00:00
奶白菜,3.0,3.1,3.2,,,斤,2021-12-09 00:00:00
散生菜,4.0,4.5,5.0,,,斤,2021-12-09 00:00:00
香葱,4.5,4.75,5.0,,,斤,2021-12-09 00:00:00
茼蒿,4.0,4.5,5.0,,,斤,2021-12-09 00:00:00
蒿子秆,2.5,2.75,3.0,,,斤,2021-12-09 00:00:00
水萝卜,4.0,4.25,4.5,,,斤,2021-12-09 00:00:00
樱桃萝卜,3.0,3.25,3.5,,,斤,2021-12-09 00:00:00
香芹,4.0,4.25,4.5,,,斤,2021-12-09 00:00:00
菠菜,4.0,4.25,4.5,,,斤,2021-12-09 00:00:00
苋菜,5.0,5.5,6.0,,,斤,2021-12-09 00:00:00
菊花菜,2.5,2.75,3.0,,,斤,2021-12-09 00:00:00
黄心菜,3.0,3.5,4.0,,,斤,2021-12-09 00:00:00
青蒜,5.5,5.75,6.0,,,斤,2021-12-09 00:00:00
盖菜,2.0,2.25,2.5,,,斤,2021-12-09 00:00:00
芥兰,3.0,3.25,3.5,,,斤,2021-12-09 00:00:00
菜心,3.0,3.5,4.0,,,斤,2021-12-09 00:00:00
空心菜,6.5,6.75,7.0,,,斤,2021-12-09 00:00:00
美人椒,4.0,4.5,5.0,,鲁云蒙,斤,2021-12-09 00:00:00
螺丝椒,3.0,4.0,5.0,精选,鲁甘,斤,2021-12-09 00:00:00
柿子椒,1.5,2.0,2.5,袋\箱,鲁冀,斤,2021-12-09 00:00:00
线椒,3.0,3.5,4.0,新,鲁冀,斤,2021-12-09 00:00:00
杭椒,3.0,3.5,4.0,,鲁,斤,2021-12-09 00:00:00
小米椒,11.0,12.0,13.0,,云,斤,2021-12-09 00:00:00
彩椒,6.0,6.25,6.5,红\黄,鲁冀,斤,2021-12-09 00:00:00
白萝卜,0.8,0.9,1.0,,鄂冀川,斤,2021-12-09 00:00:00
心里美,1.5,1.65,1.8,泥\洗,冀,斤,2021-12-09 00:00:00
卞萝卜,1.0,1.05,1.1,洗,冀鲁,斤,2021-12-09 00:00:00
青萝卜,1.8,2.1,2.4,洗,冀津,斤,2021-12-09 00:00:00
胡萝卜,1.2,1.35,1.5,泥,冀鲁,斤,2021-12-09 00:00:00
胡萝卜,1.4,1.6,1.8,洗,冀鲁,斤,2021-12-09 00:00:00
土豆,0.8,0.9,1.0,黄心,冀,斤,2021-12-09 00:00:00
土豆,1.0,1.15,1.3,V7,冀陕,斤,2021-12-09 00:00:00
葱头,0.75,0.8,0.85,黄,甘,斤,2021-12-09 00:00:00
葱头,1.2,1.25,1.3,红,甘,斤,2021-12-09 00:00:00
山药,2.4,3.1,3.8,脆\麻新,冀,斤,2021-12-09 00:00:00
山药,3.8,5.9,8.0,铁棍,豫,斤,2021-12-09 00:00:00
莲藕,3.0,3.25,3.5,泥\洗,津苏,斤,2021-12-09 00:00:00
红薯,1.0,1.1,1.2,龙薯九,冀,斤,2021-12-09 00:00:00
红薯,1.5,1.75,2.0,西瓜红,,斤,2021-12-09 00:00:00
紫薯,1.8,2.4,3.0,,,斤,2021-12-09 00:00:00
茭白,5.5,5.75,6.0,,苏,斤,2021-12-09 00:00:00
荸荠,2.2,2.35,2.5,,皖,斤,2021-12-09 00:00:00
芋头,1.5,1.55,1.6,,鲁,斤,2021-12-09 00:00:00
姜,1.5,2.5,3.5,姜头\整,冀鲁,斤,2021-12-09 00:00:00
大蒜,3.0,3.7,4.4,,豫苏鲁,斤,2021-12-09 00:00:00
蒜米,3.2,3.5,3.8,机剥\手工,鲁,斤,2021-12-09 00:00:00
大葱,1.8,2.0,2.2,毛\净,冀鲁辽,斤,2021-12-09 00:00:00
小葱,5.0,5.25,5.5,,辽,斤,2021-12-09 00:00:00
蒜苗,3.0,4.75,6.5,,鲁,斤,2021-12-09 00:00:00
蒜黄,3.6,3.8,4.0,,冀,斤,2021-12-09 00:00:00
青蒜,3.5,3.75,4.0,,鲁豫,斤,2021-12-09 00:00:00
平菇,3.0,3.25,3.5,小叶,京,斤,2021-12-09 00:00:00
香菇,3.0,3.75,4.5,,冀,斤,2021-12-09 00:00:00
白玉菇,4.5,5.0,5.5,,京,斤,2021-12-09 00:00:00
口蘑,8.0,8.5,9.0,,豫,斤,2021-12-09 00:00:00
杏鲍菇,3.0,3.5,4.0,,苏,斤,2021-12-09 00:00:00
金针菇,2.2,2.7,3.2,,辽,斤,2021-12-09 00:00:00
鸡毛菜,3.0,3.25,3.5,,,斤,2021-12-09 00:00:00
豌豆苗,4.0,4.25,4.5,,,斤,2021-12-09 00:00:00
快菜,2.5,2.75,3.0,,,斤,2021-12-09 00:00:00
苦菊,4.5,5.0,5.5,,,斤,2021-12-09 00:00:00
穿心莲,2.5,2.75,3.0,,,斤,2021-12-09 00:00:00
木耳菜,6.0,6.5,7.0,,,斤,2021-12-09 00:00:00
菠萝,2.0,2.25,2.5,箱装（上六下六）,,斤,2021-12-09 00:00:00
圣女果,8.0,8.5,9.0,千禧,,斤,2021-12-09 00:00:00
百香果,7.0,7.5,8.0,,,斤,2021-12-09 00:00:00
冬枣,2.0,4.0,6.0,,,斤,2021-12-09 00:00:00
黑枣,7.0,8.0,9.0,,,斤,2021-12-09 00:00:00
九九草莓,30.0,36.0,42.0,,,斤,2021-12-09 00:00:00
宁玉草莓,17.0,18.5,20.0,,,斤,2021-12-09 00:00:00
甜宝草莓,16.0,21.5,27.0,奶油,,斤,2021-12-09 00:00:00
红颜草莓,18.0,20.0,22.0,,,斤,2021-12-09 00:00:00
人参果,4.0,4.5,5.0,,,斤,2021-12-09 00:00:00
火龙果,2.5,5.0,7.5,红,,斤,2021-12-09 00:00:00
火龙果,2.5,3.5,4.5,白,,斤,2021-12-09 00:00:00
板栗,3.0,3.25,3.5,,,斤,2021-12-09 00:00:00
油栗,3.5,5.75,8.0,,,斤,2021-12-09 00:00:00
